timestamp,longAccount,shortAccount,longShortRatio
2026-07-11 10:05:00+00:00,0.5841,0.4159,1.4044
2026-07-11 10:10:00+00:00,0.584,0.416,1.4038
2026-07-11 10:15:00+00:00,0.5839,0.4161,1.4033
2026-07-11 10:20:00+00:00,0.5838,0.4162,1.4027
2026-07-11 10:25:00+00:00,0.5837,0.4163,1.4021
2026-07-11 10:30:00+00:00,0.5835,0.4165,1.401
2026-07-11 10:35:00+00:00,0.5835,0.4165,1.401
2026-07-11 10:40:00+00:00,0.5834,0.4166,1.4004
2026-07-11 10:45:00+00:00,0.5834,0.4166,1.4004
2026-07-11 10:50:00+00:00,0.5834,0.4166,1.4004
2026-07-11 10:55:00+00:00,0.5835,0.4165,1.401
2026-07-11 11:00:00+00:00,0.5834,0.4166,1.4004
2026-07-11 11:05:00+00:00,0.5835,0.4165,1.401
2026-07-11 11:10:00+00:00,0.5836,0.4164,1.4015
2026-07-11 11:15:00+00:00,0.5836,0.4164,1.4015
2026-07-11 11:20:00+00:00,0.5836,0.4164,1.4015
2026-07-11 11:25:00+00:00,0.5836,0.4164,1.4015
2026-07-11 11:30:00+00:00,0.5835,0.4165,1.401
2026-07-11 11:35:00+00:00,0.5835,0.4165,1.401
2026-07-11 11:40:00+00:00,0.5837,0.4163,1.4021
2026-07-11 11:45:00+00:00,0.5836,0.4164,1.4015
2026-07-11 11:50:00+00:00,0.5836,0.4164,1.4015
2026-07-11 11:55:00+00:00,0.5836,0.4164,1.4015
2026-07-11 12:00:00+00:00,0.5836,0.4164,1.4015
2026-07-11 12:05:00+00:00,0.5837,0.4163,1.4021
2026-07-11 12:10:00+00:00,0.5838,0.4162,1.4027
2026-07-11 12:15:00+00:00,0.5839,0.4161,1.4033
2026-07-11 12:20:00+00:00,0.584,0.416,1.4038
2026-07-11 12:25:00+00:00,0.584,0.416,1.4038
2026-07-11 12:30:00+00:00,0.5839,0.4161,1.4033
2026-07-11 12:35:00+00:00,0.5839,0.4161,1.4033
2026-07-11 12:40:00+00:00,0.5839,0.4161,1.4033
2026-07-11 12:45:00+00:00,0.5837,0.4163,1.4021
2026-07-11 12:50:00+00:00,0.5837,0.4163,1.4021
2026-07-11 12:55:00+00:00,0.5838,0.4162,1.4027
2026-07-11 13:00:00+00:00,0.5838,0.4162,1.4027
2026-07-11 13:05:00+00:00,0.5839,0.4161,1.4033
2026-07-11 13:10:00+00:00,0.5838,0.4162,1.4027
2026-07-11 13:15:00+00:00,0.5838,0.4162,1.4027
2026-07-11 13:20:00+00:00,0.5838,0.4162,1.4027
2026-07-11 13:25:00+00:00,0.584,0.416,1.4038
2026-07-11 13:30:00+00:00,0.5841,0.4159,1.4044
2026-07-11 13:35:00+00:00,0.5841,0.4159,1.4044
2026-07-11 13:40:00+00:00,0.5842,0.4158,1.405
2026-07-11 13:45:00+00:00,0.5841,0.4159,1.4044
2026-07-11 13:50:00+00:00,0.5841,0.4159,1.4044
2026-07-11 13:55:00+00:00,0.5843,0.4157,1.4056
2026-07-11 14:00:00+00:00,0.5844,0.4156,1.4062
2026-07-11 14:05:00+00:00,0.5844,0.4156,1.4062
2026-07-11 14:10:00+00:00,0.5843,0.4157,1.4056
2026-07-11 14:15:00+00:00,0.5844,0.4156,1.4062
2026-07-11 14:20:00+00:00,0.5844,0.4156,1.4062
2026-07-11 14:25:00+00:00,0.5854,0.4146,1.412
2026-07-11 14:30:00+00:00,0.5843,0.4157,1.4056
2026-07-11 14:35:00+00:00,0.5842,0.4158,1.405
2026-07-11 14:40:00+00:00,0.5838,0.4162,1.4027
2026-07-11 14:45:00+00:00,0.5835,0.4165,1.401
2026-07-11 14:50:00+00:00,0.5831,0.4169,1.3987
2026-07-11 14:55:00+00:00,0.5829,0.4171,1.3975
2026-07-11 15:00:00+00:00,0.5827,0.4173,1.3964
2026-07-11 15:05:00+00:00,0.5828,0.4172,1.3969
2026-07-11 15:10:00+00:00,0.5827,0.4173,1.3964
2026-07-11 15:15:00+00:00,0.5825,0.4175,1.3952
2026-07-11 15:20:00+00:00,0.5821,0.4179,1.3929
2026-07-11 15:25:00+00:00,0.582,0.418,1.3923
2026-07-11 15:30:00+00:00,0.5821,0.4179,1.3929
2026-07-11 15:35:00+00:00,0.5821,0.4179,1.3929
2026-07-11 15:40:00+00:00,0.5877,0.4123,1.4254
2026-07-11 15:45:00+00:00,0.5872,0.4128,1.4225
