timestamp,last_update_id,interval_start,interval_end,bid_volume,ask_volume
1762174973.6574056,9067426518898,0.000,0.005,31257794.00000000,0.00000000
1762174973.6574056,9067426518898,0.005,0.010,17483.00000000,0.00000000
1762174973.6574056,9067426518898,0.010,0.015,15900.00000000,0.00000000
1762174973.6574056,9067426518898,0.015,0.020,60065.00000000,0.00000000
1762174973.6574056,9067426518898,0.020,0.025,14735.00000000,0.00000000
1762174973.6574056,9067426518898,0.025,0.030,13435.00000000,0.00000000
1762174973.6574056,9067426518898,0.030,0.035,54102.00000000,0.00000000
1762174973.6574056,9067426518898,0.035,0.040,184666.00000000,0.00000000
1762174973.6574056,9067426518898,0.040,0.045,86830.00000000,0.00000000
1762174973.6574056,9067426518898,0.045,0.050,36033.00000000,0.00000000
1762174973.6574056,9067426518898,0.050,0.055,105013.00000000,0.00000000
1762174973.6574056,9067426518898,0.055,0.060,30800.00000000,0.00000000
1762174973.6574056,9067426518898,0.060,0.065,108567.00000000,0.00000000
1762174973.6574056,9067426518898,0.065,0.070,29608.00000000,0.00000000
1762174973.6574056,9067426518898,0.070,0.075,93930.00000000,0.00000000
1762174973.6574056,9067426518898,0.075,0.080,54082.00000000,0.00000000
1762174973.6574056,9067426518898,0.080,0.085,126471.00000000,0.00000000
1762174973.6574056,9067426518898,0.085,0.090,155345.00000000,0.00000000
1762174973.6574056,9067426518898,0.090,0.095,188119.00000000,0.00000000
1762174973.6574056,9067426518898,0.095,0.100,130423.00000000,0.00000000
1762174973.6574056,9067426518898,0.100,0.105,475103.00000000,0.00000000
1762174973.6574056,9067426518898,0.105,0.110,1418093.00000000,0.00000000
1762174973.6574056,9067426518898,0.110,0.115,6576006.00000000,0.00000000
1762174973.6574056,9067426518898,0.115,0.120,6926790.00000000,3831625.00000000
1762174973.6574056,9067426518898,0.120,0.125,0.00000000,3701839.00000000
1762174973.6574056,9067426518898,0.125,0.130,0.00000000,2515862.00000000
1762174973.6574056,9067426518898,0.130,0.135,0.00000000,512364.00000000
1762174973.6574056,9067426518898,0.135,0.140,0.00000000,480599.00000000
1762174973.6574056,9067426518898,0.140,0.145,0.00000000,94323.00000000
1762174973.6574056,9067426518898,0.145,0.150,0.00000000,117957.00000000
1762174973.6574056,9067426518898,0.150,0.155,0.00000000,433500.00000000
1762174973.6574056,9067426518898,0.155,0.160,0.00000000,215631.00000000
1762174973.6574056,9067426518898,0.160,0.165,0.00000000,219629.00000000
1762174973.6574056,9067426518898,0.165,0.170,0.00000000,429134.00000000
1762174973.6574056,9067426518898,0.170,0.175,0.00000000,203874.00000000
1762174973.6574056,9067426518898,0.175,0.180,0.00000000,184182.00000000
1762174973.6574056,9067426518898,0.180,0.185,0.00000000,72237.00000000
1762174973.6574056,9067426518898,0.185,0.190,0.00000000,56272.00000000
1762174973.6574056,9067426518898,0.190,0.195,0.00000000,79240.00000000
1762174973.6574056,9067426518898,0.195,0.200,0.00000000,77395.00000000
1762174973.6574056,9067426518898,0.200,0.205,0.00000000,68997.00000000
1762174973.6574056,9067426518898,0.205,0.210,0.00000000,11859.00000000
1762174973.6574056,9067426518898,0.210,0.215,0.00000000,53402.00000000
1762174973.6574056,9067426518898,0.215,0.220,0.00000000,40513.00000000
1762174973.6574056,9067426518898,0.220,0.225,0.00000000,16958.00000000
1762174973.6574056,9067426518898,0.225,0.230,0.00000000,33420.00000000
1762174973.6574056,9067426518898,0.230,0.235,0.00000000,9503.00000000
1762174973.6574056,9067426518898,0.235,0.240,0.00000000,4999.00000000
1762174973.6574056,9067426518898,0.240,0.245,0.00000000,47438.00000000
1762174973.6574056,9067426518898,0.245,0.250,0.00000000,5765.00000000
1762174973.6574056,9067426518898,0.250,0.255,0.00000000,12946.00000000
1762174973.6574056,9067426518898,0.255,0.260,0.00000000,30271.00000000
1762174973.6574056,9067426518898,0.260,0.265,0.00000000,5904.00000000
1762174973.6574056,9067426518898,0.265,0.270,0.00000000,46392.00000000
1762174973.6574056,9067426518898,0.270,0.275,0.00000000,17897.00000000
1762174973.6574056,9067426518898,0.275,0.280,0.00000000,7320.00000000
1762174973.6574056,9067426518898,0.280,0.285,0.00000000,3870.00000000
1762174973.6574056,9067426518898,0.285,0.290,0.00000000,3045.00000000
1762174973.6574056,9067426518898,0.290,0.295,0.00000000,5840.00000000
1762174973.6574056,9067426518898,0.295,0.300,0.00000000,731.00000000
1762174973.6574056,9067426518898,0.300,0.305,0.00000000,29158.00000000
1762174973.6574056,9067426518898,0.305,0.310,0.00000000,16393.00000000
1762174973.6574056,9067426518898,0.310,0.315,0.00000000,666.00000000
1762174973.6574056,9067426518898,0.315,0.320,0.00000000,25497.00000000
1762174973.6574056,9067426518898,0.320,0.325,0.00000000,476.00000000
