time_bj,strategy,dir,amount,status,pnl,confidence,avg_prob,queuePos,queueLen,open,close,signalTime,actionableTime
06-22 02:55:05,FAST_2700_27_ETA3,DOWN,12,won,9.6,51,0.7551,2,2,64200,64186,2026-06-21T18:54:56Z,2026-06-21T18:55:02.254Z
06-22 03:02:29,STABLE_2700_20_ETA2,DOWN,12,won,9.6,63.1,0.8157,2,2,64284.01,64210.01,2026-06-21T19:02:18Z,2026-06-21T19:02:26.272Z
06-22 04:47:17,STABLE_2700_20_ETA2,UP,12,lost,-12,77.1,0.1143,1,2,63848.25,63768.01,2026-06-21T20:46:49Z,2026-06-21T20:47:11.097Z
06-22 04:47:25,FAST_2700_27_ETA3,UP,12,lost,-12,77.2,0.1142,2,2,63851.99,63770,2026-06-21T20:46:51Z,2026-06-21T20:47:11.097Z
06-22 05:09:20,STABLE_2700_20_ETA2,UP,12,lost,-12,65.4,0.1732,2,2,63682.63,63571.36,2026-06-21T21:08:53Z,2026-06-21T21:09:17.621Z
06-22 05:09:26,FAST_2700_27_ETA3,UP,12,lost,-12,67.2,0.1639,2,2,63674.98,63587.99,2026-06-21T21:08:55Z,2026-06-21T21:09:18.507Z
06-22 08:30:07,FAST_2700_27_ETA3,DOWN,12,lost,-12,55.5,0.7774,2,2,63720.01,63952.01,2026-06-22T00:29:54Z,2026-06-22T00:30:01.875Z
06-22 08:31:49,STABLE_2700_20_ETA2,DOWN,12,lost,-12,62.4,0.812,2,2,63800.26,64001.7,2026-06-22T00:31:33Z,2026-06-22T00:31:43.890Z
06-22 08:40:54,FAST_2700_27_ETA3,DOWN,12,won,9.6,74.8,0.8739,2,2,64006.4,63759.99,2026-06-22T00:40:42Z,2026-06-22T00:40:50.030Z
06-22 08:45:21,STABLE_2700_20_ETA2,DOWN,12,won,9.6,65.8,0.8291,1,2,63929.99,63806.78,2026-06-22T00:45:07Z,2026-06-22T00:45:17.079Z
06-22 08:57:00,FAST_2700_27_ETA3,DOWN,12,lost,-12,47.8,0.7389,2,2,63842,63964.01,2026-06-22T00:56:51Z,2026-06-22T00:56:56.268Z
06-22 09:07:52,FAST_2700_27_ETA3,DOWN,12,lost,-12,51.5,0.7573,2,2,64012.47,64031.31,2026-06-22T01:07:31Z,2026-06-22T01:07:39.652Z
06-22 09:24:00,FAST_2700_27_ETA3,DOWN,12,lost,-12,48.6,0.7428,2,2,64420,64532.01,2026-06-22T01:23:49Z,2026-06-22T01:23:55.991Z
06-22 09:26:33,STABLE_2700_20_ETA2,DOWN,12,won,9.6,66.9,0.8345,2,2,64708.33,64397.25,2026-06-22T01:26:17Z,2026-06-22T01:26:29.929Z
06-22 09:36:55,FAST_2700_27_ETA3,DOWN,10,lost,-10,59.6,0.798,2,2,64418.78,64490,2026-06-22T01:36:43Z,2026-06-22T01:36:49.977Z
06-22 09:38:21,STABLE_2700_20_ETA2,DOWN,15,lost,-15,60.9,0.8043,2,2,64480.01,64552.95,2026-06-22T01:38:03Z,2026-06-22T01:38:15.070Z
06-22 09:48:35,FAST_2700_27_ETA3,DOWN,15,lost,-15,46.9,0.7344,2,2,64550.75,64589.71,2026-06-22T01:48:23Z,2026-06-22T01:48:30.831Z
06-22 09:55:06,STABLE_2700_20_ETA2,DOWN,15,won,12,64,0.8202,2,2,64672,64564.71,2026-06-22T01:54:53Z,2026-06-22T01:55:03.661Z
06-22 09:59:57,FAST_2700_27_ETA3,DOWN,15,won,12,61.7,0.8086,2,2,64620.01,64530.01,2026-06-22T01:59:40Z,2026-06-22T01:59:47.388Z
06-22 11:01:07,FAST_2700_27_ETA3,UP,15,lost,-15,57.8,0.2112,2,2,64143.33,64069.99,2026-06-22T03:00:31Z,2026-06-22T03:01:02.757Z
06-22 11:01:15,STABLE_2700_20_ETA2,UP,15,lost,-15,66.3,0.1685,2,2,64088.01,64073.48,2026-06-22T03:00:53Z,2026-06-22T03:01:12.522Z
06-22 11:14:40,STABLE_2700_20_ETA2,UP,15,won,12,67.3,0.1637,2,2,64066,64341.02,2026-06-22T03:14:25Z,2026-06-22T03:14:37.451Z
06-22 13:09:26,FAST_2700_27_ETA3,DOWN,15,lost,-15,54.9,0.7744,2,2,64227.02,64238.01,2026-06-22T05:09:10Z,2026-06-22T05:09:22.587Z
06-22 13:11:32,STABLE_2700_20_ETA2,DOWN,15,won,12,67.7,0.8384,1,2,64266.01,64254.21,2026-06-22T05:11:09Z,2026-06-22T05:11:26.689Z
06-22 13:20:08,FAST_2700_27_ETA3,DOWN,15,won,12,58.6,0.7932,2,2,64280.01,64247.99,2026-06-22T05:19:52Z,2026-06-22T05:20:05.226Z
06-22 13:34:42,FAST_2700_27_ETA3,DOWN,15,lost,-15,46.5,0.7323,2,2,64266,64268,2026-06-22T05:34:26Z,2026-06-22T05:34:39.131Z
06-22 15:22:26,FAST_2700_27_ETA3,DOWN,15,lost,-15,53.9,0.7697,2,2,64296,64336.12,2026-06-22T07:22:08Z,2026-06-22T07:22:20.155Z
06-22 15:32:30,FAST_2700_27_ETA3,DOWN,15,won,12,61.8,0.8091,2,2,64336.12,64257.1,2026-06-22T07:31:55Z,2026-06-22T07:32:07.292Z
06-22 15:38:02,STABLE_2700_20_ETA2,DOWN,15,won,12,66.6,0.8329,1,2,64357.45,64260,2026-06-22T07:37:37Z,2026-06-22T07:37:55.106Z
06-22 15:43:10,FAST_2700_27_ETA3,DOWN,5,won,4,48.8,0.744,2,2,64278.04,64234.43,2026-06-22T07:42:55Z,2026-06-22T07:43:06.752Z
06-22 19:27:04,FAST_2700_27_ETA3,DOWN,15,lost,-15,55.2,0.7762,2,2,64448,64743.58,2026-06-22T11:26:51Z,2026-06-22T11:27:01.566Z
06-22 19:33:36,STABLE_2700_20_ETA2,DOWN,15,won,12,62.1,0.8104,2,2,64598.47,64575.4,2026-06-22T11:33:14Z,2026-06-22T11:33:30.261Z
06-22 19:37:08,FAST_2700_27_ETA3,DOWN,15,won,12,60.8,0.8038,1,2,64743.58,64603.99,2026-06-22T11:36:09Z,2026-06-22T11:36:30.297Z
06-22 19:46:26,STABLE_2700_20_ETA2,DOWN,15,lost,-15,57.7,0.7886,2,2,64603.86,64657.99,2026-06-22T11:46:05Z,2026-06-22T11:46:21.406Z
06-22 19:47:17,FAST_2700_27_ETA3,DOWN,15,lost,-15,55.1,0.7755,2,2,64607.99,64633.68,2026-06-22T11:46:42Z,2026-06-22T11:47:12.490Z
06-22 20:06:39,FAST_2700_27_ETA3,DOWN,15,won,12,47.3,0.7366,2,2,64785.49,64729.99,2026-06-22T12:06:08Z,2026-06-22T12:06:36.647Z
06-22 20:38:26,FAST_2700_27_ETA3,DOWN,15,lost,-15,49.9,0.7493,2,2,65077.4,65134,2026-06-22T12:38:06Z,2026-06-22T12:38:23.833Z
06-22 20:48:32,FAST_2700_27_ETA3,DOWN,15,lost,-15,54.6,0.773,2,2,65137.44,65191.88,2026-06-22T12:48:04Z,2026-06-22T12:48:16.040Z
06-22 20:49:32,STABLE_2700_20_ETA2,DOWN,15,won,12,60.3,0.8014,2,2,65183.99,65160.23,2026-06-22T12:49:07Z,2026-06-22T12:49:23.221Z
06-22 21:04:34,STABLE_2700_20_ETA2,DOWN,10,lost,-10,56.2,0.7811,1,1,65122.55,65142.01,2026-06-22T13:04:09Z,2026-06-22T13:04:28.009Z
